11 5 14 10  6  2  8  0  0  1  0  0 12  6  4  1  8
12 5 14 10  6  2  8  0  0  1  0  0 14  4  5  0  4
13 5 14 10  6  2  8  0  0  1  0  0 12  6  6  2  4
14 5 14 10  6  2  8  0  0  1  0  0  0  2  1  2  8
21 5 15 12  8  4  6  0  0  0  0  0  5  5  5  0  1
22 5 15 12  8  4  6  0  0  0  0  0 12  1  3  4  5
23 5 15 12  8  4  6  0  0  0  0  0 11  1  3  4  5
24 5 15 12  8  4  6  0  0  0  0  0  3 12  4  0  6
25 5 15 12  8  4  6  0  0  0  0  0  2  0  4  3  6
31 5 14 10 12  3  8  0  0  0  0  0 13  9 12  2  7
32 5 14 10 12  3  8  0  0  0  0  0  1  5  5  3  4
33 5 14 10 12  3  8  0  0  0  0  0  0  9  6  3  1
34 5 14 10 12  3  8  0  0  0  0  0 12  0 12  0  2
35 5 14 10 12  3  8  0  0  0  0  0  7  3  7  0  0
36 5 14 10 12  3  8  0  0  0  0  0  7  0  7  0  7

